userName,at,content
princess lili,2024-10-28 02:46:18,sangat mudah dan sangat luar biasa untuk di pelajari!
Yuhastiar,2024-10-28 02:44:26,aplikasi yg sangat bagus dan banyak membantu
Suqainah Mamang,2024-10-28 02:38:35,BAGUS BANGET. AKU YANG AWALNYA PINTER BAHASA INGGRIS JADI TAMBAH PINTAR❤️❤️😆
Satria Bima,2024-10-28 02:36:26,👍🏻👍🏻👍🏻👍🏻ok banget
Muhammad Rifki,2024-10-28 02:23:31,bagús membantu bgtt gambang mengingat bhs atau mtk yg dlu g bisa b.inggrís sekarang jadi bisa
agus rioot,2024-10-28 02:14:46,"buat belajar dasar, sangat mudah di mengerti"
mychelle Aurelia,2024-10-28 02:07:13,ngebuggg tolong lahh duolingoooo
Andi Suci,2024-10-28 02:00:37,Membantu saya untuk menghafal bahasa dan saya sangat suka dengan aplikasi ini ini yang paling terbaik dari aplikasi lainnya yg mengajarkan bahasa Inggris 🤩🤩🤩
Devi Aprilia,2024-10-28 01:46:03,good
Hejri Julyadi,2024-10-28 01:37:00,mantaap buat belajar
Rena Infinix,2024-10-28 01:35:27,"rekomen bangettt, gara² Duolingo aku jadi jago b Inggris 🙌🏻💫"
MUH IKRA S,2024-10-28 01:35:18,sangat membantu bagi saya untuk seorang pemula dalam belajar bahasa Inggris
Dizastria Islamae Hefield,2024-10-28 01:34:51,Awesome
R.H. Al Atas,2024-10-28 01:31:08,keren aplikasinya
Dzulhaj,2024-10-28 01:24:29,sangat membantu
siti nurdiana,2024-10-28 01:08:54,terbaik👍💯
Hertinawati Purba,2024-10-28 01:06:03,mengapa kalian langdung memberikan pertanyaan kepada saya menapa tidak Di jelaskan dulu
Dewi Cempluk,2024-10-28 00:54:59,"buat isi waktu luang, belajar dengan menyenangkan. Untuk menambah ilmu yg bermanfaat"
Aimee Setiady,2024-10-28 00:25:21,"it's super duper helping, like Duolingo are helping me to speak in Japan!"
ALIYA HUSNA,2024-10-28 00:21:09,Nicest app for studying language 💗💗💗
Yumna Khaira wilda,2024-10-28 00:01:33,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️❤️❤️❤️❤️❤️❤️❤️❤️♥️♥️♥️♥️♥️♥️♥️♥️❤️❤️❤️❤️❤️♥️♥️♥️♥️♥️♥️♥️❤️❤️❤️❤️❤️♥️♥️♥️♥️♥️♥️♥️♥️♥️❤️❤️❤️❤️❤️❤️❤️❤️♥️♥️♥️♥️♥️❤️❤️❤️
Lifa Airah,2024-10-28 00:01:10,bagus banget 👍
imelda chandra,2024-10-27 23:59:53,aplikasi yg bagus dan sangat membantu utk belajar bhs inggris.
Mayukha Mayukha,2024-10-27 23:54:10,사랑해요❤️
jowo dwipo,2024-10-27 23:44:48,amazing. . .
Nime Chanel,2024-10-27 23:43:31,aplikasi ini sangat mudah dimengerti dan membantu
Gina dwim,2024-10-27 23:35:53,suka banget belajar di duolinggo😍😍😍
Theresia Pangesti,2024-10-27 23:16:12,bagus seru aj gitu
Hanifah nurul,2024-10-27 23:14:58,membantuu
