userName,at,content
Wong Deso,2024-11-01 15:03:44,"Game gk jelas juga ini, lebih parah dari ml, Masak temnya di kasih 4 orang tolol terus, gak rekomendasi sih mending ml"
Muhammad - kun,2024-11-01 11:22:31,"Game tercinta ini mah donghua oh iya sama mau nambahkan komentar saya, makasih sudah di perbaiki machmaching ya admin🤤🙏 bagus banget dapat team jago jago"
dani babat,2024-11-01 08:34:25,🔥🔥
Alfandi Alfandii,2024-11-01 06:50:11,"gamenya overal udah bagus sih,cuman yang harus di atur lagi pembagian timnya sih,masa iya tier mytic masih pada buta map"
MARTIN,2024-11-01 04:26:07,lagi baik baik aja
mercy syg,2024-11-01 02:54:58,Sangat bagus sih tapi kok tim saya bot ya
CHUPULANK,2024-11-01 00:21:31,GAME DONGO UDAH SEPI BANYAK GAYA BLOKK!!! MATCHMAKING YG BENER DONGO!!!
Hunter Strike,2024-10-31 16:41:53,"Match making yg tidak seimbang,sangat susah menemukan tim yg bagus,selalu jumpa tim yg tolol gak pandai main"
Andryan Iqball,2024-10-31 10:26:22,"Terimakasih sudah menemani beberapa bulan ini , jujur kecewa ama nih game karena abis update jd sering frame drop pdhl grafis udh diturunin ke 2 , kmaren2 3 lancar kgk ada yg namanya framedrop skrng ampas bgt terutama sistem report makin kesini makin berasa ga guna"
Oman Nyoman,2024-10-31 10:01:01,Game gajelas masa diemin bentar malah kena saksi mana skor nya dikurangi 9 padahal diemin bentar doang loh kencing di wc gajelas mending ml kalo afk kurang skor nya dikit lah ini banyak mana pus skor kredit nya lama PP.k
call me yuu,2024-10-31 03:09:57,"LAGI WAR PASTI LAG PADAHAL SINYAL IJO,BIKIN GA MYAMAN BGT BUAT MAIN"
No Name,2024-10-30 14:58:33,"Honor of Kings awalnya tuh game yang katanya support 'HP kentang,' jadi banyak yang senang bisa main tanpa perlu device super canggih. Tapi makin ke sini malah makin berat banget buat dimainkan. Setiap kali login cuma buat ngurangin bintang, karena di tengah permainan pasti nge-lag parah. Akhirnya malah kena penalti gara-gara sistem yang nggak stabil. Udah, lah, kalau begini terus mending pensi aja main HoK. Dulu sih lumayan seru, sekarang mah cuma bikin sakit hati doang, anjir."
Andre Dhan,2024-10-30 13:01:07,TOLOLLL LO CYNA SIPITTT GOBLOGGGGGG
Rosyid Virmansah,2024-10-30 10:59:48,"Benerinlah fpsnya jing jangan update skin terus ga guna, dari sebelah pindah kesini gara gara gamenya ancur, eh di sini fpsnya suka ancur tailah,"
hanif ardian,2024-10-30 10:43:29,"Untuk developer gamenya sudah bagus,dari segi grafik maupun keseluruhan game cuma ada satu masalah lag jaringan dalam game"
Maulana Fatur,2024-10-30 09:10:49,Dev kenala tanda bar smite pada hero augran tidak ada tnda bar garis pada monster jungle??tolong min dperbaiki bugg nya
Christian Tian,2024-10-30 06:25:06,Untuk pihak Tencent secara teknis game sudah bagus cuman kekurangannya ada lag setiap war dan juga banyak sekali orang yg troll atau feed berkeliaran banyak juga banyak pakai cheat lag mohon pihak hok kog memperbaiki masalah ini🙏
Ferdi Hanif01,2024-10-30 04:22:52,Mungkin winstreak di game ini sudah ga berlaku
